Country,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Mauritania,Africa,63419,1363.95,0,0,0,997,21.442,0,0,0
Bangladesh,South-East Asia,2036760,1236.728,148,0.09,30,29436,17.874,2,0.001,0
Equatorial Guinea,Africa,17087,1217.903,1,0.071,0,183,13.044,0,0,0
Myanmar,South-East Asia,633381,1164.094,100,0.184,0,19488,35.817,0,0,0
Comoros,Africa,8977,1032.313,9,1.035,0,160,18.399,0,0,0
Rwanda,Africa,132811,1025.392,49,0.378,0,1467,11.326,0,0,0
Cambodia,Western Pacific,138202,826.618,96,0.574,14,3056,18.279,0,0,0
Uzbekistan,Europe,247838,740.496,1005,3.003,122,1637,4.891,0,0,0
Mozambique,Africa,230624,737.868,0,0,0,2226,7.122,0,0,0
Pakistan,Eastern Mediterranean,1575382,713.19,133,0.06,0,30634,13.868,2,0.001,0
China,Western Pacific,9862129,670.306,148619,10.101,22583,30717,2.088,329,0.022,64
Kenya,Africa,341924,635.886,288,0.536,0,5684,10.571,0,0,0
Algeria,Africa,271113,618.259,17,0.039,0,6881,15.692,0,0,0
Ghana,Africa,171023,550.392,0,0,0,1461,4.702,0,0,0
Senegal,Africa,88887,530.861,10,0.06,0,1968,11.754,0,0,0
Afghanistan,Eastern Mediterranean,206414,530.241,342,0.879,0,7837,20.132,3,0.008,0
Gambia,Africa,12586,520.8,0,0,0,372,15.393,0,0,0
Papua New Guinea,Western Pacific,46427,518.91,180,2.012,0,668,7.466,0,0,0
Egypt,Eastern Mediterranean,515456,503.698,3,0.003,0,24799,24.233,1,0.001,0
Togo,Africa,39332,475.097,1,0.012,0,290,3.503,0,0,0
Cameroon,Africa,123993,467.09,0,0,0,1965,7.402,0,0,0
Malawi,Africa,88123,460.655,40,0.209,0,2685,14.036,0,0,0
Guinea-Bissau,Africa,8848,449.593,0,0,0,176,8.943,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Burundi,Africa,51276,431.225,258,2.17,0,15,0.126,0,0,0
Ethiopia,Africa,494786,430.385,141,0.123,0,7572,6.586,0,0,0
Uganda,Africa,169715,371.035,0,0,0,3630,7.936,0,0,0
Côte d’Ivoire,Africa,87889,333.187,2,0.008,0,830,3.147,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57410,328.045,10,0.057,0,3163,18.074,0,0,0
Angola,Africa,104808,318.892,0,0,0,1925,5.857,0,0,0
Central African Republic,Africa,15310,316.993,0,0,0,113,2.34,0,0,0
Haiti,Americas,33862,296.969,0,0,0,860,7.542,0,0,0
Guinea,Africa,38153,290.517,0,0,0,464,3.533,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Madagascar,Africa,67488,243.718,229,0.827,0,1413,5.103,1,0.004,0
Benin,Africa,27980,230.797,0,0,0,163,1.345,0,0,0
Nicaragua,Americas,15263,230.4,13,0.196,0,245,3.698,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Somalia,Eastern Mediterranean,27286,171.683,0,0,0,1361,8.563,0,0,0
South Sudan,Africa,18352,163.949,0,0,0,138,1.233,0,0,0
Mali,Africa,32760,161.771,0,0,0,742,3.664,0,0,0
Liberia,Africa,8035,158.867,0,0,0,294,5.813,0,0,0
Sudan,Eastern Mediterranean,63660,145.179,23,0.052,0,4992,11.384,2,0.005,0
Nigeria,Africa,266283,129.176,0,0,0,3155,1.531,0,0,0
Democratic Republic of the Congo,Africa,94451,105.459,0,0,0,1456,1.626,0,0,0
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0
Sierra Leone,Africa,7760,97.28,0,0,0,125,1.567,0,0,0
United Republic of Tanzania,Africa,40806,68.313,150,0.251,0,845,1.415,0,0,0
Chad,Africa,7647,46.555,1,0.006,0,194,1.181,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,0,0,0,2159,7.239,0,0,0
Niger,Africa,9457,39.068,14,0.058,0,314,1.297,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
